2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:19:43 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:43 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:45 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:45 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:47 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:47 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:47 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:47 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360834538&type=song
2026-03-22 15:19:47 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360834538 from any endpoint
2026-03-22 15:19:47 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360834538 from any endpoint
2026-03-22 15:19:47 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 全城通缉 Most Wanted
2026-03-22 15:19:47 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 全城通缉 Most Wanted
2026-03-22 15:19:48 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 9/10: 星间旅行 Interstellar Journey (英文版)
2026-03-22 15:19:48 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 9/10: 星间旅行 Interstellar Journey (英文版)
2026-03-22 15:19:48 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2043177706
2026-03-22 15:19:48 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2043177706
2026-03-22 15:19:49 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:49 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:51 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:51 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2043177706 from any endpoint
2026-03-22 15:19:53 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2043177706 from any endpoint
2026-03-22 15:19:53 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 星间旅行 Interstellar Journey (英文版)
2026-03-22 15:19:53 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 星间旅行 Interstellar Journey (英文版)
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 10/10: 完美偶像 Perfect Idol
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 10/10: 完美偶像 Perfect Idol
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3360835405
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3360835405
2026-03-22 15:19:55 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:55 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:56 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:56 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360835405 from any endpoint
2026-03-22 15:19:59 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360835405 from any endpoint
2026-03-22 15:19:59 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 完美偶像 Perfect Idol
2026-03-22 15:19:59 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 完美偶像 Perfect Idol
2026-03-22 15:20:00 | INFO     | src.platforms.netease.crawler:search_and_get_comments:248 | Completed. Processed 0 songs with comments
2026-03-22 15:20:00 | INFO     | src.platforms.netease.crawler:search_and_get_comments:248 | Completed. Processed 0 songs with comments
2026-03-22 15:20:00 | WARNING  | __main__:main:52 | No results found
2026-03-22 15:20:00 | WARNING  | __main__:main:52 | No results found
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:25:39 | INFO     | __main__:main:33 | ==================================================
2026-03-22 15:25:39 | INFO     | __main__:main:33 | ==================================================
2026-03-22 15:25:39 | INFO     | __main__:main:34 | Netease Music Crawler Started
2026-03-22 15:25:39 | INFO     | __main__:main:34 | Netease Music Crawler Started
2026-03-22 15:25:39 | INFO     | __main__:main:35 | Keyword: mihoyo
2026-03-22 15:25:39 | INFO     | __main__:main:35 | Keyword: mihoyo
2026-03-22 15:25:39 | INFO     | __main__:main:36 | Max songs: 5
2026-03-22 15:25:39 | INFO     | __main__:main:36 | Max songs: 5
2026-03-22 15:25:39 | INFO     | __main__:main:37 | Comments per song: 10
2026-03-22 15:25:39 | INFO     | __main__:main:37 | Comments per song: 10
2026-03-22 15:25:39 | INFO     | __main__:main:38 | ==================================================
2026-03-22 15:25:39 | INFO     | __main__:main:38 | ==================================================
2026-03-22 15:25:39 | INFO     | src.core.base_crawler:__init__:31 | Crawler initialized: NeteaseCrawler
2026-03-22 15:25:39 | INFO     | src.core.base_crawler:__init__:31 | Crawler initialized: NeteaseCrawler
2026-03-22 15:25:39 | INFO     | src.platforms.netease.crawler:__init__:26 | NeteaseCrawler initialized
2026-03-22 15:25:39 | INFO     | src.platforms.netease.crawler:__init__:26 | NeteaseCrawler initialized
2026-03-22 15:25:39 | INFO     | __main__:main:48 | Starting search and comment extraction...
2026-03-22 15:25:39 | INFO     | __main__:main:48 | Starting search and comment extraction...
2026-03-22 15:25:39 | INFO     | src.platforms.netease.crawler:search:97 | Searching for: mihoyo
2026-03-22 15:25:39 | INFO     | src.platforms.netease.crawler:search:97 | Searching for: mihoyo
2026-03-22 15:25:40 | INFO     | src.platforms.netease.crawler:search:136 | Found 5 songs
2026-03-22 15:25:40 | INFO     | src.platforms.netease.crawler:search:136 | Found 5 songs
2026-03-22 15:25:40 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 1/5: 痴人说梦
2026-03-22 15:25:40 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 1/5: 痴人说梦
2026-03-22 15:25:40 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3357230091
2026-03-22 15:25:40 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3357230091
2026-03-22 15:25:45 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:45 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:46 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:46 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:48 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:48 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:48 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:48 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3357230091&type=song
2026-03-22 15:25:48 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3357230091 from any endpoint
2026-03-22 15:25:48 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3357230091 from any endpoint
2026-03-22 15:25:48 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 痴人说梦
2026-03-22 15:25:48 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 痴人说梦
2026-03-22 15:25:49 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 2/5: 挪德卡莱 Nod-Krai
2026-03-22 15:25:49 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 2/5: 挪德卡莱 Nod-Krai
2026-03-22 15:25:49 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2756019200
2026-03-22 15:25:49 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2756019200
2026-03-22 15:25:51 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:51 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:52 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:52 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:54 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:54 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:54 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:54 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2756019200&type=song
2026-03-22 15:25:54 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2756019200 from any endpoint
2026-03-22 15:25:54 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2756019200 from any endpoint
2026-03-22 15:25:54 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 挪德卡莱 Nod-Krai
2026-03-22 15:25:54 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 挪德卡莱 Nod-Krai
2026-03-22 15:25:55 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 3/5: 笔尖幻想 Pen-Point Fantasy
2026-03-22 15:25:55 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 3/5: 笔尖幻想 Pen-Point Fantasy
2026-03-22 15:25:55 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3360835391
2026-03-22 15:25:55 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3360835391
2026-03-22 15:25:57 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:25:57 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:25:58 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:25:58 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:26:01 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:26:01 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:26:01 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:26:01 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360835391&type=song
2026-03-22 15:26:01 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360835391 from any endpoint
2026-03-22 15:26:01 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360835391 from any endpoint
2026-03-22 15:26:01 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 笔尖幻想 Pen-Point Fantasy
2026-03-22 15:26:01 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 笔尖幻想 Pen-Point Fantasy
2026-03-22 15:26:02 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 4/5: 不眠之夜
2026-03-22 15:26:02 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 4/5: 不眠之夜
2026-03-22 15:26:02 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2122308127
2026-03-22 15:26:02 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2122308127
2026-03-22 15:26:04 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:04 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:05 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:05 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:07 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:07 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:07 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:07 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2122308127&type=song
2026-03-22 15:26:07 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2122308127 from any endpoint
2026-03-22 15:26:07 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2122308127 from any endpoint
2026-03-22 15:26:07 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 不眠之夜
2026-03-22 15:26:07 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 不眠之夜
2026-03-22 15:26:08 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 5/5: 轻涟 La vaguelette
2026-03-22 15:26:08 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 5/5: 轻涟 La vaguelette
2026-03-22 15:26:08 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2100334024
2026-03-22 15:26:08 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 2100334024
2026-03-22 15:26:10 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:10 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:11 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:11 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:13 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:13 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:13 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:13 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2100334024&type=song
2026-03-22 15:26:13 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2100334024 from any endpoint
2026-03-22 15:26:13 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2100334024 from any endpoint
2026-03-22 15:26:13 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 轻涟 La vaguelette
2026-03-22 15:26:13 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 轻涟 La vaguelette
2026-03-22 15:26:14 | INFO     | src.platforms.netease.crawler:search_and_get_comments:248 | Completed. Processed 0 songs with comments
2026-03-22 15:26:14 | INFO     | src.platforms.netease.crawler:search_and_get_comments:248 | Completed. Processed 0 songs with comments
2026-03-22 15:26:14 | WARNING  | __main__:main:52 | No results found
2026-03-22 15:26:14 | WARNING  | __main__:main:52 | No results found
2026-03-22 20:16:36 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 20:16:36 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 20:16:36 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 20:16:36 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 20:16:45 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 20:16:45 | INFO     | __main__:main:33 | ==================================================
2026-03-22 20:16:45 | INFO     | __main__:main:33 | ==================================================
2026-03-22 20:16:45 | INFO     | __main__:main:34 | Netease Music Crawler Started
2026-03-22 20:16:45 | INFO     | __main__:main:34 | Netease Music Crawler Started
2026-03-22 20:16:45 | INFO     | __main__:main:35 | Keyword: test
2026-03-22 20:16:45 | INFO     | __main__:main:35 | Keyword: test
2026-03-22 20:16:45 | INFO     | __main__:main:36 | Max songs: 2
2026-03-22 20:16:45 | INFO     | __main__:main:36 | Max songs: 2
2026-03-22 20:16:45 | INFO     | __main__:main:37 | Comments per song: 10
2026-03-22 20:16:45 | INFO     | __main__:main:37 | Comments per song: 10
2026-03-22 20:16:45 | INFO     | __main__:main:38 | ==================================================
2026-03-22 20:16:45 | INFO     | __main__:main:38 | ==================================================
2026-03-22 20:16:45 | INFO     | src.core.base_crawler:__init__:31 | Crawler initialized: NeteaseCrawler
2026-03-22 20:16:45 | INFO     | src.core.base_crawler:__init__:31 | Crawler initialized: NeteaseCrawler
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:__init__:26 | NeteaseCrawler initialized
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:__init__:26 | NeteaseCrawler initialized
2026-03-22 20:16:45 | INFO     | __main__:main:48 | Starting search and comment extraction...
2026-03-22 20:16:45 | INFO     | __main__:main:48 | Starting search and comment extraction...
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:search:97 | Searching for: test
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:search:97 | Searching for: test
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:search:136 | Found 2 songs
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:search:136 | Found 2 songs
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 1/2: TEST
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 1/2: TEST
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 1822070830
2026-03-22 20:16:45 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 1822070830
2026-03-22 20:16:50 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:50 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:51 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:51 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:53 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:53 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:53 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:53 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=1822070830&type=song
2026-03-22 20:16:53 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 1822070830 from any endpoint
